"Plot Title: Tank 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20444042, SEN S/N: 20444042, LBL: Tank1)","Coupler Detached (LGR S/N: 20444042)","Coupler Attached (LGR S/N: 20444042)","Host Connected (LGR S/N: 20444042)","End Of File (LGR S/N: 20444042)"
1,02/22/19 12:00:00 PM,12.847,Logged,,,
2,02/22/19 12:15:00 PM,13.834,,,,
3,02/22/19 12:30:00 PM,14.768,,,,
4,02/22/19 12:45:00 PM,15.461,,,,
5,02/22/19 01:00:00 PM,16.415,,,,
6,02/22/19 01:15:00 PM,17.153,,,,
7,02/22/19 01:30:00 PM,17.677,,,,
8,02/22/19 01:45:00 PM,18.604,,,,
9,02/22/19 02:00:00 PM,19.603,,,,
10,02/22/19 02:15:00 PM,20.246,,,,
11,02/22/19 02:30:00 PM,19.294,,,,
12,02/22/19 02:45:00 PM,19.793,,,,
13,02/22/19 03:00:00 PM,19.508,,,,
14,02/22/19 03:15:00 PM,19.770,,,,
15,02/22/19 03:30:00 PM,19.341,,,,
16,02/22/19 03:45:00 PM,19.651,,,,
17,02/22/19 04:00:00 PM,18.913,,,,
18,02/22/19 04:15:00 PM,19.151,,,,
19,02/22/19 04:30:00 PM,19.341,,,,
20,02/22/19 04:45:00 PM,19.460,,,,
21,02/22/19 05:00:00 PM,19.508,,,,
22,02/22/19 05:15:00 PM,19.484,,,,
23,02/22/19 05:30:00 PM,19.532,,,,
24,02/22/19 05:45:00 PM,18.794,,,,
25,02/22/19 06:00:00 PM,18.675,,,,
26,02/22/19 06:15:00 PM,18.794,,,,
27,02/22/19 06:30:00 PM,18.913,,,,
28,02/22/19 06:45:00 PM,19.008,,,,
29,02/22/19 07:00:00 PM,19.103,,,,
30,02/22/19 07:15:00 PM,19.199,,,,
31,02/22/19 07:30:00 PM,19.270,,,,
32,02/22/19 07:45:00 PM,19.318,,,,
33,02/22/19 08:00:00 PM,19.389,,,,
34,02/22/19 08:15:00 PM,19.413,,,,
35,02/22/19 08:30:00 PM,19.460,,,,
36,02/22/19 08:45:00 PM,19.484,,,,
37,02/22/19 09:00:00 PM,19.532,,,,
38,02/22/19 09:15:00 PM,19.555,,,,
39,02/22/19 09:30:00 PM,19.579,,,,
40,02/22/19 09:45:00 PM,19.603,,,,
41,02/22/19 10:00:00 PM,19.627,,,,
42,02/22/19 10:15:00 PM,18.723,,,,
43,02/22/19 10:30:00 PM,18.533,,,,
44,02/22/19 10:45:00 PM,18.628,,,,
45,02/22/19 11:00:00 PM,18.723,,,,
46,02/22/19 11:15:00 PM,18.818,,,,
47,02/22/19 11:30:00 PM,18.866,,,,
48,02/22/19 11:45:00 PM,18.937,,,,
49,02/23/19 12:00:00 AM,18.985,,,,
50,02/23/19 12:15:00 AM,19.056,,,,
51,02/23/19 12:30:00 AM,19.103,,,,
52,02/23/19 12:45:00 AM,19.151,,,,
53,02/23/19 01:00:00 AM,19.175,,,,
54,02/23/19 01:15:00 AM,19.222,,,,
55,02/23/19 01:30:00 AM,19.246,,,,
56,02/23/19 01:45:00 AM,19.270,,,,
57,02/23/19 02:00:00 AM,19.270,,,,
58,02/23/19 02:15:00 AM,19.294,,,,
59,02/23/19 02:30:00 AM,19.318,,,,
60,02/23/19 02:45:00 AM,19.318,,,,
61,02/23/19 03:00:00 AM,19.341,,,,
62,02/23/19 03:15:00 AM,19.341,,,,
63,02/23/19 03:30:00 AM,19.341,,,,
64,02/23/19 03:45:00 AM,19.341,,,,
65,02/23/19 04:00:00 AM,19.341,,,,
66,02/23/19 04:15:00 AM,19.341,,,,
67,02/23/19 04:30:00 AM,19.341,,,,
68,02/23/19 04:45:00 AM,19.341,,,,
69,02/23/19 05:00:00 AM,19.318,,,,
70,02/23/19 05:15:00 AM,19.341,,,,
71,02/23/19 05:30:00 AM,19.318,,,,
72,02/23/19 05:45:00 AM,19.318,,,,
73,02/23/19 06:00:00 AM,19.294,,,,
74,02/23/19 06:15:00 AM,19.294,,,,
75,02/23/19 06:30:00 AM,19.270,,,,
76,02/23/19 06:45:00 AM,19.270,,,,
77,02/23/19 07:00:00 AM,19.294,,,,
78,02/23/19 07:15:00 AM,19.341,,,,
79,02/23/19 07:30:00 AM,19.389,,,,
80,02/23/19 07:45:00 AM,19.484,,,,
81,02/23/19 08:00:00 AM,19.603,,,,
82,02/23/19 08:15:00 AM,19.294,,,,
83,02/23/19 08:30:00 AM,18.794,,,,
84,02/23/19 08:45:00 AM,19.103,,,,
85,02/23/19 09:00:00 AM,19.484,,,,
86,02/23/19 09:15:00 AM,19.246,,,,
87,02/23/19 09:30:00 AM,19.008,,,,
88,02/23/19 09:45:00 AM,19.436,,,,
89,02/23/19 10:00:00 AM,18.771,,,,
90,02/23/19 10:15:00 AM,19.246,,,,
91,02/23/19 10:30:00 AM,19.246,,,,
92,02/23/19 10:45:00 AM,18.985,,,,
93,02/23/19 11:00:00 AM,19.436,,,,
94,02/23/19 11:15:00 AM,18.723,,,,
95,02/23/19 11:30:00 AM,19.199,,,,
96,02/23/19 11:45:00 AM,19.294,,,,
97,02/23/19 12:00:00 PM,18.866,,,,
98,02/23/19 12:15:00 PM,19.341,,,,
99,02/23/19 12:30:00 PM,19.032,,,,
100,02/23/19 12:45:00 PM,18.818,,,,
101,02/23/19 01:00:00 PM,19.270,,,,
102,02/23/19 01:15:00 PM,19.080,,,,
103,02/23/19 01:30:00 PM,18.866,,,,
104,02/23/19 01:45:00 PM,19.246,,,,
105,02/23/19 02:00:00 PM,19.413,,,,
106,02/23/19 02:15:00 PM,18.842,,,,
107,02/23/19 02:30:00 PM,19.103,,,,
108,02/23/19 02:45:00 PM,19.436,,,,
109,02/23/19 03:00:00 PM,18.794,,,,
110,02/23/19 03:15:00 PM,18.723,,,,
111,02/23/19 03:30:00 PM,18.889,,,,
112,02/23/19 03:45:00 PM,19.080,,,,
113,02/23/19 04:00:00 PM,19.246,,,,
114,02/23/19 04:15:00 PM,19.365,,,,
115,02/23/19 04:30:00 PM,19.484,,,,
116,02/23/19 04:45:00 PM,18.889,,,,
117,02/23/19 05:00:00 PM,18.557,,,,
118,02/23/19 05:15:00 PM,18.675,,,,
119,02/23/19 05:30:00 PM,18.771,,,,
120,02/23/19 05:45:00 PM,18.866,,,,
121,02/23/19 06:00:00 PM,18.913,,,,
122,02/23/19 06:15:00 PM,18.985,,,,
123,02/23/19 06:30:00 PM,19.056,,,,
124,02/23/19 06:45:00 PM,19.127,,,,
125,02/23/19 07:00:00 PM,19.199,,,,
126,02/23/19 07:15:00 PM,19.270,,,,
127,02/23/19 07:30:00 PM,19.341,,,,
128,02/23/19 07:45:00 PM,19.389,,,,
129,02/23/19 08:00:00 PM,19.436,,,,
130,02/23/19 08:15:00 PM,19.484,,,,
131,02/23/19 08:30:00 PM,19.532,,,,
132,02/23/19 08:45:00 PM,19.579,,,,
133,02/23/19 09:00:00 PM,19.222,,,,
134,02/23/19 09:15:00 PM,18.485,,,,
135,02/23/19 09:30:00 PM,18.580,,,,
136,02/23/19 09:45:00 PM,18.675,,,,
137,02/23/19 10:00:00 PM,18.747,,,,
138,02/23/19 10:15:00 PM,18.794,,,,
139,02/23/19 10:30:00 PM,18.866,,,,
140,02/23/19 10:45:00 PM,18.937,,,,
141,02/23/19 11:00:00 PM,19.008,,,,
142,02/23/19 11:15:00 PM,19.056,,,,
143,02/23/19 11:30:00 PM,19.127,,,,
144,02/23/19 11:45:00 PM,19.151,,,,
145,02/24/19 12:00:00 AM,19.199,,,,
146,02/24/19 12:15:00 AM,19.222,,,,
147,02/24/19 12:30:00 AM,19.246,,,,
148,02/24/19 12:45:00 AM,19.270,,,,
149,02/24/19 01:00:00 AM,19.294,,,,
150,02/24/19 01:15:00 AM,19.341,,,,
151,02/24/19 01:30:00 AM,19.389,,,,
152,02/24/19 01:45:00 AM,19.413,,,,
153,02/24/19 02:00:00 AM,19.413,,,,
154,02/24/19 02:15:00 AM,19.436,,,,
155,02/24/19 02:30:00 AM,19.460,,,,
156,02/24/19 02:45:00 AM,19.460,,,,
157,02/24/19 03:00:00 AM,19.484,,,,
158,02/24/19 03:15:00 AM,19.508,,,,
159,02/24/19 03:30:00 AM,19.532,,,,
160,02/24/19 03:45:00 AM,19.532,,,,
161,02/24/19 04:00:00 AM,19.532,,,,
162,02/24/19 04:15:00 AM,19.508,,,,
163,02/24/19 04:30:00 AM,19.508,,,,
164,02/24/19 04:45:00 AM,19.484,,,,
165,02/24/19 05:00:00 AM,19.484,,,,
166,02/24/19 05:15:00 AM,19.508,,,,
167,02/24/19 05:30:00 AM,19.484,,,,
168,02/24/19 05:45:00 AM,19.484,,,,
169,02/24/19 06:00:00 AM,19.460,,,,
170,02/24/19 06:15:00 AM,19.436,,,,
171,02/24/19 06:30:00 AM,19.413,,,,
172,02/24/19 06:45:00 AM,19.389,,,,
173,02/24/19 07:00:00 AM,19.365,,,,
174,02/24/19 07:15:00 AM,19.341,,,,
175,02/24/19 07:30:00 AM,19.341,,,,
176,02/24/19 07:45:00 AM,19.365,,,,
177,02/24/19 08:00:00 AM,19.365,,,,
178,02/24/19 08:15:00 AM,19.365,,,,
179,02/24/19 08:30:00 AM,19.389,,,,
180,02/24/19 08:45:00 AM,19.389,,,,
181,02/24/19 09:00:00 AM,19.389,,,,
182,02/24/19 09:15:00 AM,19.389,,,,
183,02/24/19 09:30:00 AM,19.413,,,,
184,02/24/19 09:45:00 AM,19.436,,,,
185,02/24/19 10:00:00 AM,19.436,,,,
186,02/24/19 10:15:00 AM,19.460,,,,
187,02/24/19 10:30:00 AM,19.508,,,,
188,02/24/19 10:45:00 AM,19.532,,,,
189,02/24/19 11:00:00 AM,19.603,,,,
190,02/24/19 11:15:00 AM,19.199,,,,
191,02/24/19 11:30:00 AM,18.628,,,,
192,02/24/19 11:45:00 AM,18.699,,,,
193,02/24/19 12:00:00 PM,18.794,,,,
194,02/24/19 12:15:00 PM,18.889,,,,
195,02/24/19 12:30:00 PM,19.008,,,,
