"Plot Title: Tank 2"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20444034, SEN S/N: 20444034, LBL: Celcius)","Coupler Detached (LGR S/N: 20444034)","Coupler Attached (LGR S/N: 20444034)","Host Connected (LGR S/N: 20444034)","End Of File (LGR S/N: 20444034)"
1,02/22/19 12:00:00 PM,13.040,Logged,,,
2,02/22/19 12:15:00 PM,13.858,,,,
3,02/22/19 12:30:00 PM,14.601,,,,
4,02/22/19 12:45:00 PM,15.223,,,,
5,02/22/19 01:00:00 PM,16.320,,,,
6,02/22/19 01:15:00 PM,17.058,,,,
7,02/22/19 01:30:00 PM,17.391,,,,
8,02/22/19 01:45:00 PM,18.129,,,,
9,02/22/19 02:00:00 PM,19.199,,,,
10,02/22/19 02:15:00 PM,19.651,,,,
11,02/22/19 02:30:00 PM,19.936,,,,
12,02/22/19 02:45:00 PM,19.936,,,,
13,02/22/19 03:00:00 PM,20.126,,,,
14,02/22/19 03:15:00 PM,19.817,,,,
15,02/22/19 03:30:00 PM,19.912,,,,
16,02/22/19 03:45:00 PM,19.793,,,,
17,02/22/19 04:00:00 PM,19.555,,,,
18,02/22/19 04:15:00 PM,19.318,,,,
19,02/22/19 04:30:00 PM,19.508,,,,
20,02/22/19 04:45:00 PM,19.651,,,,
21,02/22/19 05:00:00 PM,19.698,,,,
22,02/22/19 05:15:00 PM,19.674,,,,
23,02/22/19 05:30:00 PM,19.698,,,,
24,02/22/19 05:45:00 PM,19.460,,,,
25,02/22/19 06:00:00 PM,19.151,,,,
26,02/22/19 06:15:00 PM,19.246,,,,
27,02/22/19 06:30:00 PM,19.341,,,,
28,02/22/19 06:45:00 PM,19.413,,,,
29,02/22/19 07:00:00 PM,19.484,,,,
30,02/22/19 07:15:00 PM,19.555,,,,
31,02/22/19 07:30:00 PM,19.603,,,,
32,02/22/19 07:45:00 PM,19.627,,,,
33,02/22/19 08:00:00 PM,19.674,,,,
34,02/22/19 08:15:00 PM,19.698,,,,
35,02/22/19 08:30:00 PM,19.722,,,,
36,02/22/19 08:45:00 PM,19.746,,,,
37,02/22/19 09:00:00 PM,19.746,,,,
38,02/22/19 09:15:00 PM,19.770,,,,
39,02/22/19 09:30:00 PM,19.770,,,,
40,02/22/19 09:45:00 PM,19.770,,,,
41,02/22/19 10:00:00 PM,19.793,,,,
42,02/22/19 10:15:00 PM,19.151,,,,
43,02/22/19 10:30:00 PM,19.151,,,,
44,02/22/19 10:45:00 PM,19.222,,,,
45,02/22/19 11:00:00 PM,19.294,,,,
46,02/22/19 11:15:00 PM,19.341,,,,
47,02/22/19 11:30:00 PM,19.389,,,,
48,02/22/19 11:45:00 PM,19.413,,,,
49,02/23/19 12:00:00 AM,19.436,,,,
50,02/23/19 12:15:00 AM,19.484,,,,
51,02/23/19 12:30:00 AM,19.508,,,,
52,02/23/19 12:45:00 AM,19.532,,,,
53,02/23/19 01:00:00 AM,19.532,,,,
54,02/23/19 01:15:00 AM,19.555,,,,
55,02/23/19 01:30:00 AM,19.555,,,,
56,02/23/19 01:45:00 AM,19.555,,,,
57,02/23/19 02:00:00 AM,19.555,,,,
58,02/23/19 02:15:00 AM,19.555,,,,
59,02/23/19 02:30:00 AM,19.555,,,,
60,02/23/19 02:45:00 AM,19.555,,,,
61,02/23/19 03:00:00 AM,19.555,,,,
62,02/23/19 03:15:00 AM,19.532,,,,
63,02/23/19 03:30:00 AM,19.532,,,,
64,02/23/19 03:45:00 AM,19.532,,,,
65,02/23/19 04:00:00 AM,19.508,,,,
66,02/23/19 04:15:00 AM,19.508,,,,
67,02/23/19 04:30:00 AM,19.484,,,,
68,02/23/19 04:45:00 AM,19.460,,,,
69,02/23/19 05:00:00 AM,19.460,,,,
70,02/23/19 05:15:00 AM,19.460,,,,
71,02/23/19 05:30:00 AM,19.436,,,,
72,02/23/19 05:45:00 AM,19.436,,,,
73,02/23/19 06:00:00 AM,19.413,,,,
74,02/23/19 06:15:00 AM,19.389,,,,
75,02/23/19 06:30:00 AM,19.389,,,,
