PLUG.ID,Tank.Num,Genotype,Sample #,Date,Mass.g,Temp.C,Stand.Air,Stand.Water,Stand.Temp
2146,6,1,1,20190327,1.415,19.54,21.728,18.862,18.69
2070,5,2,2,20190327,1.059,19.87,21.728,18.862,18.69
1562,6,3,3,20190327,1.505,20.02,21.728,18.862,18.69
1353,3,4,4,20190327,1.341,19.71,21.728,18.862,18.69
1459,4,5,5,20190327,0.957,19.61,21.728,18.862,18.69
2861,4,6,6,20190327,1.507,18.74,21.728,18.862,18.69
2753,3,7,7,20190327,2.44,18.92,21.728,18.862,18.69
2304,1,8,8,20190327,1.056,20.36,21.728,18.862,18.69
1082,1,9,9,20190327,1.352,20.08,21.728,18.862,18.69
1051,2,10,10,20190327,1.608,19.91,21.728,18.862,18.69
1484,5,11,11,20190327,0.971,19.78,21.728,18.862,18.69
2735,6,12,12,20190327,1.813,20.58,21.728,18.862,18.69
2303,3,13,13,20190327,1.338,18.16,21.728,18.862,18.69
1260,4,14,14,20190327,1.45,20.17,21.728,18.862,18.69
1709,1,15,15,20190327,1.308,18.06,21.728,18.862,18.69
1779,2,15,16,20190327,1.155,19.56,21.728,18.862,18.69
2525,3,16,17,20190327,1.745,20.27,21.728,18.862,18.69
1275,3,17,18,20190327,2.188,20.05,21.728,18.862,18.69
2014,6,18,19,20190327,3.104,20.22,21.728,18.862,18.69
2882,5,19,20,20190327,1.65,19.91,21.728,18.862,18.69
2184,5,20,21,20190327,2.288,14.65,21.728,18.862,18.69
2067,1,21,22,20190327,1.72,19.27,21.728,18.862,18.69
2517,6,22,23,20190327,3.729,20.03,21.728,18.862,18.69
1534,4,23,24,20190327,1.596,19.78,21.728,18.862,18.69
2164,4,23,25,20190327,1.585,19.93,21.728,18.862,18.69
1765,1,24,26,20190327,1.356,19.25,21.728,18.862,18.69
1811,2,24,27,20190327,1.391,19.95,21.728,18.862,18.69
1246,3,25,28,20190327,1.724,19.65,21.728,18.862,18.69
1436,2,25,29,20190327,1.561,18.4,21.728,18.862,18.69
2012,1,26,30,20190327,2.467,19.88,21.728,18.862,18.69
1329,2,26,31,20190327,2.639,20.45,21.728,18.862,18.69
2863,4,27,32,20190327,1.939,19.49,21.728,18.862,18.69
2015,2,27,33,20190327,1.457,19.39,21.728,18.862,18.69
2410,5,27,34,20190327,1.885,19.83,21.728,18.862,18.69
1411,1,27,35,20190327,0.614,19.87,21.728,18.862,18.69
2858,6,28,36,20190327,1.95,18.85,21.728,18.862,18.69
1235,4,28,37,20190327,1.655,18.94,21.728,18.862,18.69
2513,5,29,38,20190327,3.83,18.89,21.728,18.862,18.69
1264,4,29,39,20190327,3.245,18.97,21.728,18.862,18.69
1756,3,30,40,20190327,2.425,18.83,21.728,18.862,18.69
1695,2,30,41,20190327,2.22,19.72,21.728,18.862,18.69
2407,6,30,42,20190327,1.264,19.73,21.728,18.862,18.69
1679,1,30,43,20190327,2.096,19.25,21.728,18.862,18.69
1316,3,31,44,20190327,1.431,20.13,21.728,18.862,18.69
1083,5,31,45,20190327,1.453,19.63,21.728,18.862,18.69
1606,2,31,46,20190327,1.953,19.83,21.728,18.862,18.69
2564,6,31,47,20190327,1.908,19.98,21.728,18.862,18.69
2189,5,31,48,20190327,1.745,20.36,21.728,18.862,18.69
2146,6,1,1,20190416,1.375,18.66,21.729,19.121,18.91
2070,5,2,2,20190416,1.166,17.74,21.729,19.121,18.91
1562,6,3,3,20190416,1.505,20.02,21.729,19.121,18.91
