"","Plug","N","cs.activity.mUmg","sd","se","ci"
"1",1082,2,45.1264315777682,9.11691593696876,6.44663308253832,81.9122398057288
"2",1083,2,30.1533894522971,0,0,0
"3",1235,2,37.7772225729125,3.56167070076,2.51848150486084,32.0003416250311
"4",1246,2,16.8000293331967,7.91960977709085,5.60000977773222,71.1548707604458
"5",1260,2,14.0041121122266,0,0,0
"6",1264,2,25.1777508825231,5.08667382401647,3.59682155464615,45.7019510728201
"7",1275,2,14.655599994939,10.3630741387789,7.32779999746952,93.1085270335881
"8",1316,2,41.0866707576703,3.41796041283854,2.4168629857453,30.7091559161623
"9",1329,2,32.9425507709282,4.23525473449191,2.99477734281166,38.0522540570221
"10",1353,2,44.2770259163563,9.04373256201854e-14,6.3948846218409e-14,8.12547132693256e-13
"11",1411,2,15.9625853690158,0,0,0
"12",1436,2,53.21619526549,8.36211834248342,5.91291058505444,75.1306524803962
"13",1459,2,20.1540287004213,4.07172867494188,2.87914695720312,36.5830307037572
"14",1484,2,36.2511433194512,7.32383693341411,5.1787347599216,65.8020641339084
"15",1534,2,23.3071235662984,3.66236113859608,2.58968039625537,32.9050093160788
"16",1606,2,16.2744906632231,4.60312108332889,3.25489813264463,41.3574020687753
"17",1679,2,0,0,0,0
"18",1695,2,34.6330085174956,5.44205226124711,3.84811205749942,48.89489965033
"19",1709,2,11.6727329317205,16.5077372219981,11.6727329317205,148.316134461129
"20",1756,2,12.6243545734592,0,0,0
"21",1765,2,26.1342935922463,0,0,0
"22",1811,2,6.39254099065154,9.04041816700534,6.39254099065154,81.2249346116074
"23",2012,2,37.7082891532233,3.55517159562499,2.51388594354823,31.9419494821155
"24",2014,2,15.0833156612894,0,0,0
"25",2015,2,15.5776360684473,0,0,0
"26",2067,2,26.7862186681508,5.41163338931277,3.8266026668786,48.6215969293515
"27",2070,2,21.1341195403869,5.97763169656588,4.22682390807738,53.7068899597892
"28",2146,2,34.2874765498538,3.72998571971955,2.63749819614268,33.5125920714803
"29",2164,2,24.801595967724,3.18861394418665,2.25469054252036,28.6485596499805
"30",2184,2,36.0447872095933,0,0,0
"31",2189,2,8.69159589126328,12.2917727880908,8.69159589126328,110.437196878486
"32",2303,2,42.2020990507633,8.52611154831462,6.0288712929662,76.6040729764748
"33",2304,2,45.6324486748506,0,0,0
"34",2407,2,40.7246079096803,3.8395528552131,2.71497386064535,34.4970137267225
"35",2410,2,26.8091928797929,0,0,0
"36",2513,2,42.1393205846173,4.58415374461181,3.24148619881672,41.1869872916499
"37",2517,2,39.3176252269468,3.27079522566172,2.31280148393799,29.3869291690447
"38",2525,2,43.1179458581777,0,0,0
"39",2564,2,19.0577673475851,3.85025043592943,2.72253819251216,34.5931276761145
"40",2735,2,13.9570429522642,6.57941314457196,4.65234765075474,59.113681754351
"41",2753,2,6.51343302728507,0,0,0
"42",2858,2,57.2150650118148,6.22417853167456,4.40115884706281,55.9220253872066
"43",2863,2,32.5489813264462,1.3063169256249e-13,9.2370555648813e-14,1.17367919166804e-12
"44",2882,2,23.1974600817184,8.20154066504356,5.79936502042953,73.6879192893876
