Well,Chl:630,Chl:663,Chl:750
A1,0.112,0.134,0.095
B1,0.039,0.039,0.038
C1,0.037,0.037,0.037
D1,0.043,0.042,0.042
E1,0.045,0.045,0.045
F1,0.045,0.045,0.045
G1,0.034,0.034,0.034
H1,0.034,0.034,0.033
A2,0.203,0.226,0.18
B2,0.034,0.034,0.033
C2,0.037,0.036,0.036
D2,0.044,0.044,0.043
E2,0.035,0.035,0.035
F2,0.039,0.039,0.039
G2,0.037,0.037,0.037
H2,0.037,0.037,0.036
A3,0.1,0.127,0.086
B3,0.04,0.04,0.039
C3,0.039,0.038,0.037
D3,0.057,0.056,0.055
E3,0.036,0.036,0.036
F3,0.046,0.046,0.045
G3,0.032,0.032,0.032
H3,0.039,0.039,0.038
A4,0.086,0.102,0.073
B4,0.033,0.033,0.032
C4,0.039,0.038,0.038
D4,0.157,0.154,0.15
E4,0.035,0.035,0.035
F4,0.043,0.043,0.042
G4,0.045,0.044,0.044
H4,0.035,0.035,0.034
A5,0.1,0.119,0.087
B5,0.047,0.046,0.045
C5,0.052,0.053,0.053
D5,0.083,0.082,0.081
E5,0.043,0.043,0.043
F5,0.047,0.046,0.046
G5,0.037,0.037,0.036
H5,0.035,0.035,0.034
A6,0.095,0.113,0.081
B6,0.034,0.034,0.034
C6,0.056,0.055,0.054
D6,0.051,0.05,0.048
E6,0.056,0.056,0.056
F6,0.041,0.041,0.04
G6,0.036,0.035,0.035
H6,0.032,0.032,0.032
A7,0.129,0.151,0.114
B7,0.034,0.034,0.034
C7,0.056,0.056,0.055
D7,0.042,0.041,0.04
E7,0.046,0.045,0.045
F7,0.054,0.053,0.052
G7,0.044,0.044,0.043
H7,0.035,0.035,0.034
A8,0.113,0.137,0.097
B8,0.036,0.036,0.035
C8,0.05,0.05,0.05
D8,0.046,0.046,0.045
E8,0.046,0.045,0.045
F8,0.054,0.053,0.052
G8,0.035,0.035,0.035
H8,0.037,0.037,0.036
A9,0.112,0.136,0.097
B9,0.031,0.03,0.03
C9,0.041,0.041,0.04
D9,0.062,0.062,0.061
E9,0.042,0.042,0.041
F9,0.041,0.041,0.04
G9,0.03,0.03,0.029
H9,0.039,0.039,0.038
A10,0.116,0.144,0.103
B10,0.031,0.031,0.03
C10,0.037,0.037,0.037
D10,0.035,0.035,0.034
E10,0.037,0.037,0.037
F10,0.04,0.04,0.04
G10,0.04,0.04,0.04
H10,0.044,0.044,0.044
A11,0.091,0.121,0.079
B11,0.039,0.041,0.039
C11,0.051,0.051,0.051
D11,0.042,0.041,0.041
E11,0.05,0.05,0.049
F11,0.048,0.048,0.048
G11,0.043,0.043,0.043
H11,0.035,0.035,0.035
A12,0.153,0.174,0.126
B12,0.036,0.037,0.037
C12,0.042,0.042,0.042
D12,0.066,0.064,0.061
E12,0.038,0.038,0.038
F12,0.037,0.037,0.037
G12,0.051,0.05,0.05
H12,0.048,0.048,0.047
