Plug,Tank,Genotype,Sample #
2146,5,1,1
2070,5,2,2
1562,5,3,3
1353,5,4,4
1439,5,5,5
2861,5,6,6
2753,5,7,7
2304,5,8,8
1082,5,9,9
1051,5,10,10
1484,5,11,11
2735,5,12,12
2303,4,13,13
1260,4,14,14
1704,4,15,15
1774,4,15,16
2525,4,16,17
1275,4,17,18
2014,4,18,19
1882,4,19,20
2184,4,20,21
2067,4,21,22
2517,4,22,23
1534,4,23,24
2164,4,23,25
1765,5,24,26
1811,5,24,27
1246,5,25,28
1436,5,25,29
2012,4,26,30
1329,4,26,31
2863,4,27,32
2015,5,27,33
2410,5,27,34
1411,5,27,35
2858,5,28,36
1235,5,28,37
2513,5,29,38
1264,5,29,39
1756,5,30,40
1695,4,30,41
2407,4,30,42
1679,4,30,43
1316,4,31,44
1083,4,31,45
1606,4,31,46
2564,4,31,47
2189,4,31,48
